59	65	92	38
9	23	57	13
93	71	77	22
71	69	45	1
54	47	64	15
85	68	9	7
51	49	66	30
89	39	46	7
29	98	58	41
5	27	42	12
86	4	95	15
10	77	43	27
65	66	29	41
86	60	64	49
94	38	66	18
50	53	91	40
54	24	6	13
42	45	32	17
29	72	100	39
25	36	59	44
70	58	76	42
10	11	14	7
55	23	27	50
34	83	22	38
97	23	56	30
76	95	31	6
93	51	63	15
2	96	96	27
69	34	23	14
15	51	54	26
87	15	28	44
59	31	5	44
58	65	61	17
43	17	75	9
24	58	6	10
47	78	3	2
4	37	88	46
32	82	69	30
34	94	91	34
16	33	11	34
92	31	63	42
46	12	85	19
66	42	47	34
46	26	41	1
7	61	67	11
38	74	74	39
24	42	16	39
73	29	64	4
12	61	65	39
97	71	44	7
27	22	46	18
23	2	26	38
71	95	34	38
50	76	69	43
76	76	39	4
85	5	38	8
74	22	88	23
47	29	48	12
37	3	29	4
95	10	38	50
23	100	46	35
100	16	24	12
7	69	13	20
80	60	27	44
22	20	39	49
56	64	26	17
32	50	33	50
36	80	73	33
83	71	100	18
24	89	79	41
37	15	7	21
8	39	78	50
50	77	98	8
32	46	30	48
78	7	71	28
63	33	43	46
15	75	57	3
34	25	20	5
26	32	10	10
22	7	65	37
66	47	49	44
9	31	9	49
38	9	83	34
94	16	79	13
95	10	85	11
42	39	75	36
69	49	70	20
32	85	79	11
98	14	24	14
34	11	38	17
90	38	21	50
93	98	39	33
33	69	73	19
99	39	69	11
81	73	84	24
46	60	97	14
89	74	20	48
92	57	76	30
24	36	79	7
29	28	61	20
43	16	25	49
84	88	1	16
17	46	93	5
86	53	27	13
92	59	59	25
79	9	61	16
19	73	16	6
25	88	14	27
15	43	32	43
13	15	76	26
7	83	34	15
72	18	45	49
34	74	52	15
45	7	56	47
71	23	68	43
11	100	16	30
45	53	100	30
35	21	77	32
46	50	1	5
86	39	86	18
36	75	33	25
16	80	46	35
36	32	66	3
60	38	70	24
99	57	78	4
36	82	34	27
72	71	85	50
4	65	53	14
75	40	11	14
68	90	7	39
12	60	59	1
99	37	6	12
37	86	21	3
63	55	22	45
46	60	67	38
97	61	54	2
29	83	11	1
52	9	46	46
55	8	86	19
19	92	40	1
32	71	46	23
96	35	38	44
19	75	93	13
59	84	85	22
7	81	50	23
35	60	67	17
75	51	13	13
38	48	99	14
82	51	86	47
59	84	79	9
88	53	24	9
65	83	99	24
24	85	82	50
44	14	9	6
35	97	65	12
23	28	37	10
100	69	97	5
1	6	21	10
84	46	36	20
11	17	9	20
81	63	88	39
65	70	15	38
59	41	9	10
93	45	56	33
91	37	66	22
17	19	46	45
17	50	100	45
66	76	66	32
64	3	9	8
61	13	37	33
60	81	18	35
81	30	23	5
4	90	87	11
90	18	1	49
90	43	50	44
97	60	97	11
10	67	66	22
85	100	10	48
79	25	39	26
83	92	25	13
74	22	19	31
26	7	79	12
22	56	52	24
23	37	18	41
42	21	70	32
48	69	75	33
67	79	43	46
81	52	35	43
92	2	24	25
24	18	47	36
57	29	14	22
43	20	19	17
22	89	86	10
26	72	70	37
100	19	87	3
92	67	78	25
62	64	62	21
74	36	47	46
94	48	62	19
93	30	4	26
1	83	91	10
22	63	47	5
50	2	64	45
15	69	76	32
8	26	58	10
85	75	85	15
19	45	45	2
38	43	49	50
66	3	96	23
54	26	54	2
4	51	34	41
62	50	12	37
78	81	84	19
37	84	94	15
13	60	100	12
